epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9361,0.63666,2.6669,1.19406,0.85768,1,0.995,0.98802,0.2382,0.8117,0.815,6.25e-05,6.25e-05,6.25e-05
2,54.5761,0.48519,0.67195,1.03862,0.94871,1,0.995,0.9278,0.33511,0.94511,0.85087,0.000136139,0.000136139,0.000136139
3,68.9768,0.53571,0.57831,1.02337,0.9612,1,0.995,0.96364,0.32713,1.07709,0.84558,0.000208293,0.000208293,0.000208293
4,82.7642,0.5357,0.58229,1.03716,0.93247,1,0.995,0.93921,0.35712,1.06256,0.89421,0.000278961,0.000278961,0.000278961
5,95.9134,0.49464,0.50589,1.01582,0.82505,1,0.97833,0.86422,0.48684,1.01045,1.11428,0.000348145,0.000348145,0.000348145
6,110.036,0.52687,0.57124,1.02971,0.63889,0.81046,0.87729,0.80981,0.54601,2.53427,1.20093,0.000415844,0.000415844,0.000415844
7,125.901,0.54125,0.52082,1.01849,0.80617,0.73204,0.64993,0.57065,1.07258,2.2282,1.50451,0.000482057,0.000482057,0.000482057
8,143.052,0.59988,0.56339,1.0585,0.15823,0.24243,0.13258,0.05424,2.48161,3.56992,5.49721,0.000546786,0.000546786,0.000546786
9,158.408,0.67882,0.61977,1.09289,0.15823,0.24243,0.13258,0.05424,4.97105,74.7785,10.3709,0.00061003,0.00061003,0.00061003
10,173.366,0.61326,0.60293,1.05021,0.50483,0.5,0.37021,0.25207,1.43682,18.9685,2.80291,0.000671789,0.000671789,0.000671789
11,187.487,0.61248,0.57689,1.05051,0.14723,0.2,0.19554,0.12678,1.33497,14.9278,3.02959,0.000732063,0.000732063,0.000732063
12,202.703,0.58037,0.55924,1.04376,0.16639,0.5,0.32229,0.27252,1.03044,7.36014,3.32454,0.000790851,0.000790851,0.000790851
13,219.195,0.61378,0.54201,1.05258,0.25151,0.05,0.00077,0.00023,6.726,61223.9,503.216,0.000848155,0.000848155,0.000848155
14,235.307,0.65092,0.62189,1.07303,0.25151,0.05,0.00077,0.00023,4.67205,1696.45,46.937,0.000903974,0.000903974,0.000903974
15,252.749,0.62642,0.59579,1.09929,0.25504,0.1,0.0037,0.00154,2.89671,250.295,9.15467,0.000958307,0.000958307,0.000958307
16,269.323,0.64713,0.57569,1.09466,0.26818,0.15,0.0182,0.01603,2.13334,33.8051,5.25323,0.00101116,0.00101116,0.00101116
17,283.876,0.66442,0.58616,1.08449,0.40744,0.2,0.17438,0.12099,1.75426,6.64935,3.77035,0.001052,0.001052,0.001052
18,300.82,0.6133,0.53416,1.0505,0.0008,0.05,0.00049,5e-05,2.85817,73.2893,7.10635,0.00103962,0.00103962,0.00103962
19,321.538,0.6588,0.53856,1.09329,0.00059,0.05,0.00038,8e-05,4.12947,9.12295,10.0689,0.00102725,0.00102725,0.00102725
20,340.201,0.66022,0.51892,1.06667,0.00059,0.05,0.00038,8e-05,5.10907,17.2168,47.8984,0.00101488,0.00101488,0.00101488
21,360.955,0.60358,0.48905,1.04975,0.00059,0.05,0.00038,8e-05,0.00035,107.28,0.00446,0.0010025,0.0010025,0.0010025
22,379.722,0.6191,0.52781,1.06319,0.00059,0.05,0.00038,8e-05,5.56681,99.7329,41.1537,0.000990125,0.000990125,0.000990125
23,398.16,0.58625,0.49095,1.04933,0.00059,0.05,0.00038,8e-05,5.46639,24.3359,25.5398,0.00097775,0.00097775,0.00097775
24,416.836,0.55947,0.46678,1.03152,0.00059,0.05,0.00038,8e-05,2.84813,15.1372,7.46874,0.000965375,0.000965375,0.000965375
25,440.706,0.56431,0.45154,1.02632,0.00059,0.05,0.00038,8e-05,2.88746,13.3219,6.24972,0.000953,0.000953,0.000953
26,462.069,0.56568,0.44364,1.0122,0.97325,0.05,0.06328,0.03868,3.54016,5.08594,4.21746,0.000940625,0.000940625,0.000940625
27,481.832,0.57175,0.44052,1.03046,0.67786,0.2,0.25426,0.21922,2.00829,3.16775,2.45919,0.00092825,0.00092825,0.00092825
28,500.744,0.54403,0.42243,1.00311,0.61297,0.20549,0.23617,0.20728,2.17954,4.00543,2.622,0.000915875,0.000915875,0.000915875
29,519.403,0.52624,0.42017,1.00669,0.74242,0.05,0.05086,0.04577,2.7291,5.92771,3.41814,0.0009035,0.0009035,0.0009035
30,542.29,0.54393,0.44387,1.03131,0.74745,0.25,0.24875,0.24284,1.63784,4.81638,2.0708,0.000891125,0.000891125,0.000891125
31,559.753,0.54061,0.42598,1.01565,0.71052,0.35,0.45875,0.42786,1.12244,3.26021,1.62254,0.00087875,0.00087875,0.00087875
32,578.216,0.49857,0.39164,0.99501,0.8579,0.70989,0.91955,0.79477,0.61256,1.03665,1.14612,0.000866375,0.000866375,0.000866375
33,601.159,0.48151,0.38709,0.98417,0.91699,0.75,0.92606,0.8136,0.52354,1.0578,1.03896,0.000854,0.000854,0.000854
34,623.335,0.49536,0.39395,0.98769,0.85948,1,0.995,0.93154,0.3918,0.80439,0.87725,0.000841625,0.000841625,0.000841625
35,644.386,0.47779,0.37268,0.9561,0.82457,1,0.995,0.92268,0.42099,0.68013,0.89016,0.00082925,0.00082925,0.00082925
36,664.334,0.46484,0.3775,0.97508,0.83222,1,0.98667,0.89987,0.35752,0.72461,0.87842,0.000816875,0.000816875,0.000816875
37,684.703,0.45361,0.35434,0.9759,0.74769,0.95,0.87286,0.79435,0.40808,0.62142,0.90726,0.0008045,0.0008045,0.0008045
38,706.779,0.46428,0.35381,0.95951,0.95719,1,0.995,0.90251,0.46998,0.46611,1.00235,0.000792125,0.000792125,0.000792125
39,736.82,0.45688,0.36578,0.96061,0.98098,1,0.995,0.91647,0.40938,0.37683,0.94297,0.00077975,0.00077975,0.00077975
40,760.487,0.45776,0.37806,0.97731,0.98411,1,0.995,0.94334,0.33918,0.29672,0.85217,0.000767375,0.000767375,0.000767375
41,793.153,0.45713,0.36516,0.99052,0.91203,1,0.96071,0.86909,0.35237,0.45777,0.85835,0.000755,0.000755,0.000755
42,817.901,0.45025,0.3557,0.97708,0.97417,1,0.995,0.95202,0.37326,0.57123,0.86447,0.000742625,0.000742625,0.000742625
43,842.817,0.4502,0.34913,0.94709,0.96057,1,0.995,0.93722,0.3488,0.97945,0.8961,0.00073025,0.00073025,0.00073025
44,867.97,0.47372,0.39987,0.98142,0.98386,1,0.995,0.96774,0.28344,0.30194,0.82535,0.000717875,0.000717875,0.000717875
45,890.01,0.47283,0.36769,0.99325,0.98551,1,0.995,0.9652,0.29355,0.23448,0.8234,0.0007055,0.0007055,0.0007055
46,914.608,0.42402,0.35702,0.95102,0.98479,1,0.995,0.95077,0.33802,0.2421,0.87305,0.000693125,0.000693125,0.000693125
47,936.355,0.43635,0.36104,0.95947,0.97948,1,0.995,0.96706,0.31951,0.23438,0.85807,0.00068075,0.00068075,0.00068075
48,961.227,0.42591,0.32532,0.95419,0.89615,1,0.97833,0.94292,0.32643,0.33799,0.8433,0.000668375,0.000668375,0.000668375
49,982.773,0.43972,0.34184,0.96531,0.92552,1,0.98667,0.96674,0.27734,0.30867,0.83195,0.000656,0.000656,0.000656
50,1005.34,0.41778,0.34204,0.97691,0.98851,1,0.995,0.9921,0.24123,0.20954,0.8191,0.000643625,0.000643625,0.000643625
51,1029.44,0.41523,0.3303,0.95357,0.98855,1,0.995,0.97757,0.24068,0.19964,0.81255,0.00063125,0.00063125,0.00063125
52,1051.87,0.37459,0.31165,0.92085,0.98415,1,0.995,0.98627,0.26222,0.23829,0.81872,0.000618875,0.000618875,0.000618875
53,1077.92,0.41191,0.32263,0.94539,0.97973,1,0.995,0.97256,0.27576,0.22106,0.82421,0.0006065,0.0006065,0.0006065
54,1101.22,0.41426,0.33558,0.93956,0.9862,1,0.995,0.98451,0.25948,0.21092,0.81749,0.000594125,0.000594125,0.000594125
55,1121.67,0.40887,0.30987,0.94088,0.98835,1,0.995,0.97968,0.24646,0.19541,0.81961,0.00058175,0.00058175,0.00058175
56,1144.27,0.36519,0.30372,0.92369,0.99494,1,0.995,0.97869,0.23103,0.18899,0.81395,0.000569375,0.000569375,0.000569375
57,1164.11,0.37823,0.30394,0.9665,0.99431,1,0.995,0.98223,0.23153,0.18959,0.81068,0.000557,0.000557,0.000557
58,1187.53,0.36506,0.29914,0.93072,0.98913,1,0.995,0.98187,0.24476,0.19965,0.81761,0.000544625,0.000544625,0.000544625
59,1213.79,0.39054,0.29357,0.93513,0.98925,1,0.995,0.98362,0.21554,0.19934,0.80564,0.00053225,0.00053225,0.00053225
60,1241.56,0.35368,0.30826,0.92533,0.98423,1,0.995,0.9773,0.23892,0.23019,0.82044,0.000519875,0.000519875,0.000519875
61,1264.7,0.40113,0.30873,0.96335,0.9793,1,0.995,0.97771,0.2506,0.27849,0.82231,0.0005075,0.0005075,0.0005075
62,1285.6,0.37776,0.3001,0.94863,0.9849,1,0.995,0.97733,0.23972,0.22745,0.8121,0.000495125,0.000495125,0.000495125
63,1302.82,0.37018,0.29642,0.92544,0.98582,1,0.995,0.97811,0.23433,0.1905,0.81239,0.00048275,0.00048275,0.00048275
64,1322.45,0.37814,0.31713,0.9564,0.98724,1,0.995,0.99105,0.23274,0.18406,0.80912,0.000470375,0.000470375,0.000470375
65,1346.06,0.36014,0.28792,0.94546,0.98534,1,0.995,0.98817,0.20712,0.17325,0.79998,0.000458,0.000458,0.000458
66,1366.14,0.35628,0.283,0.93534,0.98665,1,0.995,0.98112,0.22173,0.17745,0.80551,0.000445625,0.000445625,0.000445625
67,1388.83,0.34881,0.28531,0.92304,0.98776,1,0.995,0.995,0.22612,0.18146,0.80421,0.00043325,0.00043325,0.00043325
68,1409.07,0.34949,0.28515,0.92225,0.98765,1,0.995,0.995,0.2267,0.1786,0.80366,0.000420875,0.000420875,0.000420875
69,1432.35,0.32455,0.26852,0.90323,0.98662,1,0.995,0.98829,0.20168,0.1694,0.79751,0.0004085,0.0004085,0.0004085
70,1455,0.36101,0.2785,0.93871,0.98802,1,0.995,0.97779,0.21121,0.17749,0.80056,0.000396125,0.000396125,0.000396125
71,1477.13,0.35357,0.27935,0.94633,0.98878,1,0.995,0.97563,0.20234,0.1677,0.79675,0.00038375,0.00038375,0.00038375
72,1498.05,0.33627,0.26371,0.91288,0.98806,1,0.995,0.995,0.21306,0.16075,0.80315,0.000371375,0.000371375,0.000371375
73,1521.26,0.30106,0.2457,0.89215,0.9879,1,0.995,0.99175,0.20901,0.16823,0.80401,0.000359,0.000359,0.000359
74,1543.92,0.33752,0.27159,0.92629,0.98957,1,0.995,0.99175,0.2046,0.17324,0.80189,0.000346625,0.000346625,0.000346625
75,1566.89,0.31295,0.26424,0.91573,0.9921,1,0.995,0.995,0.21709,0.17499,0.81059,0.00033425,0.00033425,0.00033425
76,1586.8,0.32422,0.26076,0.92101,0.99327,1,0.995,0.995,0.20682,0.16696,0.80368,0.000321875,0.000321875,0.000321875
77,1606.64,0.29557,0.24293,0.8985,0.99272,1,0.995,0.995,0.19731,0.15982,0.79705,0.0003095,0.0003095,0.0003095
78,1629.5,0.32792,0.251,0.90571,0.99161,1,0.995,0.995,0.18194,0.15494,0.79357,0.000297125,0.000297125,0.000297125
79,1651.52,0.30773,0.24618,0.89565,0.99164,1,0.995,0.995,0.19192,0.15198,0.79994,0.00028475,0.00028475,0.00028475
80,1677.41,0.30291,0.2558,0.89086,0.99461,1,0.995,0.995,0.20073,0.15501,0.80312,0.000272375,0.000272375,0.000272375
81,1699.39,0.3158,0.2508,0.9215,0.99146,1,0.995,0.995,0.20308,0.16029,0.80498,0.00026,0.00026,0.00026
82,1720.19,0.29683,0.24399,0.90109,0.9968,1,0.995,0.995,0.22337,0.17037,0.81602,0.000247625,0.000247625,0.000247625
83,1744.78,0.28338,0.23597,0.89701,0.99363,1,0.995,0.995,0.20318,0.15758,0.80766,0.00023525,0.00023525,0.00023525
84,1767.61,0.25979,0.21916,0.86963,0.99313,1,0.995,0.995,0.18364,0.14615,0.79799,0.000222875,0.000222875,0.000222875
85,1788.34,0.27886,0.2288,0.89291,0.99302,1,0.995,0.995,0.17378,0.14328,0.7982,0.0002105,0.0002105,0.0002105
86,1807.1,0.27105,0.2187,0.87791,0.99304,1,0.995,0.9921,0.16275,0.13555,0.79493,0.000198125,0.000198125,0.000198125
87,1827.3,0.27639,0.22972,0.89476,0.99301,1,0.995,0.995,0.16123,0.13474,0.79384,0.00018575,0.00018575,0.00018575
88,1852.37,0.28906,0.23105,0.91605,0.99368,1,0.995,0.995,0.16435,0.13607,0.79213,0.000173375,0.000173375,0.000173375
89,1870.96,0.26484,0.21418,0.89156,0.99404,1,0.995,0.995,0.15738,0.13613,0.79029,0.000161,0.000161,0.000161
90,1891.34,0.25414,0.20633,0.87978,0.99735,1,0.995,0.98812,0.16018,0.1287,0.78874,0.000148625,0.000148625,0.000148625
91,1918.13,0.24864,0.2075,0.85243,0.99737,1,0.995,0.995,0.16439,0.13409,0.78915,0.00013625,0.00013625,0.00013625
92,1942.3,0.20293,0.17519,0.82026,0.99745,1,0.995,0.98812,0.16595,0.14089,0.78805,0.000123875,0.000123875,0.000123875
93,1965.55,0.19511,0.16721,0.83617,0.9948,1,0.995,0.98812,0.1693,0.13984,0.78961,0.0001115,0.0001115,0.0001115
94,1983,0.19582,0.16664,0.82771,0.99511,1,0.995,0.995,0.16764,0.12522,0.79089,9.9125e-05,9.9125e-05,9.9125e-05
95,2002.27,0.18968,0.16744,0.83835,0.99516,1,0.995,0.995,0.16081,0.1257,0.78927,8.675e-05,8.675e-05,8.675e-05
96,2024.34,0.18913,0.16799,0.86002,0.99494,1,0.995,0.9921,0.15039,0.12287,0.78751,7.4375e-05,7.4375e-05,7.4375e-05
97,2040.93,0.17571,0.1541,0.82609,0.99482,1,0.995,0.9921,0.14513,0.11738,0.78756,6.2e-05,6.2e-05,6.2e-05
98,2058.89,0.1809,0.15508,0.84106,0.9945,1,0.995,0.995,0.13833,0.11244,0.7876,4.9625e-05,4.9625e-05,4.9625e-05
99,2075.36,0.16937,0.14926,0.82376,0.99446,1,0.995,0.995,0.13638,0.11295,0.78797,3.725e-05,3.725e-05,3.725e-05
100,2090.64,0.16588,0.14463,0.80424,0.99422,1,0.995,0.995,0.13564,0.111,0.78835,2.4875e-05,2.4875e-05,2.4875e-05
